time / times,City,Continents,Country,Host?,Host
time,Moscow,Europe,Russia,No,Montreal
time,Los Angeles,Americas,United States,No,Montreal
time,Rio de Janeiro,Americas,Brazil,No,London
time,Havana,Americas,Cuba,No,London
time,Paris,Europe,France,No,London
time,Leipzig,Europe,Germany,No,London
time,Moscow,Europe,Russia,No,London
time,Madrid,Europe,Spain,No,London
time,Istanbul,Europe,Turkey,No,London
time,New York City,Americas,United States,No,London
time,Buenos Aires,Americas,Argentina,No,Athens
time,Rio de Janeiro,Americas,Brazil,No,Athens
time,Lille,Europe,France,No,Athens
time,Rome,Europe,Italy,No,Athens
time,San Juan,Americas,Puerto Rico,No,Athens
time,Saint Petersburg,Europe,Russia,No,Athens
time,Cape Town,Africa,South Africa,No,Athens
time,Seville,Europe,Spain,No,Athens
time,Stockholm,Europe,Sweden,No,Athens
time,Istanbul,Europe,Turkey,No,Athens
time,Baku,Europe,Azerbaijan,No,Tokyo
time,Rome,Europe,Italy,No,Tokyo
time,Doha,Asia,Qatar,No,Tokyo
time,Madrid,Europe,Spain,No,Tokyo
time,Istanbul,Europe,Turkey,No,Tokyo
time,Baku,Europe,Azerbaijan,No,Rio de Janeiro
time,Prague,Europe,Czech Republic,No,Rio de Janeiro
time,Tokyo,Asia,Japan,No,Rio de Janeiro
time,Doha,Asia,Qatar,No,Rio de Janeiro
time,Madrid,Europe,Spain,No,Rio de Janeiro
time,Chicago,Americas,United States,No,Rio de Janeiro
time,Los Angeles,Americas,United States,No,Moscow
time,Brisbane,Oceania,Australia,No,Barcelona
time,Paris,Europe,France,No,Barcelona
time,Birmingham,Europe,Great Britain,No,Barcelona
time,Amsterdam,Europe,Netherlands,No,Barcelona
time,Belgrade,Europe,Yugoslavia,No,Barcelona
time,Buenos Aires,Americas,Argentina,No,Mexico City
time,Lyon,Europe,France,No,Mexico City
time,Detroit,Americas,United States,No,Mexico City
time,Montreal,Americas,Canada,No,Munich
time,Madrid,Europe,Spain,No,Munich
time,Detroit,Americas,United States,No,Munich
time,Buenos Aires,Americas,Argentina,No,Melbourne
time,Montreal,Americas,Canada,No,Melbourne
time,Mexico City,Americas,Mexico,No,Melbourne
time,Chicago,Americas,United States,No,Melbourne
time,Detroit,Americas,United States,No,Melbourne
time,Los Angeles,Americas,United States,No,Melbourne
time,Minneapolis,Americas,United States,No,Melbourne
time,Philadelphia,Americas,United States,No,Melbourne
time,San Francisco,Americas,United States,No,Melbourne
time,Vienna,Europe,Austria,No,Tokyo
time,Brussels,Europe,Belgium,No,Tokyo
time,Detroit,Americas,United States,No,Tokyo
time,Brussels,Europe,Belgium,No,Rome
time,Budapest,Europe,Hungary,No,Rome
time,Tokyo,Asia,Japan,No,Rome
time,Mexico City,Americas,Mexico,No,Rome
time,Lausanne,Europe,Switzerland,No,Rome
time,Detroit,Americas,United States,No,Rome
time,Athens,Europe,Greece,No,Helsinki
time,Amsterdam,Europe,Netherlands,No,Helsinki
time,Stockholm,Europe,Sweden,No,Helsinki
time,Lausanne,Europe,Switzerland,No,Helsinki
time,Chicago,Americas,United States,No,Helsinki
time,Detroit,Americas,United States,No,Helsinki
time,Los Angeles,Americas,United States,No,Helsinki
