Year,Session,Bid(s),,Vote,,,,,Host
,,City,Country,Round 1,Round 2,Round 3,Round 4,Round 5,
1896,—,—,—,—,—,—,—,—,Athens
1900,—,—,—,—,—,—,—,—,Paris
1904,—,Chicago,United States,—,—,—,—,—,St. Louis
1908,—,Rome,Italy,—,—,—,—,—,London
,,London,Great Britain,,,,,,
,,Milan,Italy,,,,,,
,,Berlin,Germany,,,,,,
1912,—,Stockholm,Sweden,—,—,—,—,—,Stockholm
1916,—,Berlin,Germany,—,—,—,—,—,*Berlin* (cancelled)
,,Alexandria,Egypt,,,,,,
,,Amsterdam,Netherlands,,,,,,
,,Brussels,Belgium,,,,,,
,,Budapest,Hungary,,,,,,
,,Cleveland,United States,,,,,,
1920,—,Antwerp,Belgium,—,—,—,—,—,Antwerp
,,Amsterdam,Netherlands,,,,,,
,,Lyon,France,,,,,,
,,Atlanta,United States,,,,,,
,,Budapest,Hungary,,,,,,
,,Cleveland,United States,,,,,,
,,Havana,Cuba,,,,,,
,,Lyon,France,,,,,,
,,Philadelphia,United States,,,,,,
1924,—,Paris,France,—,—,—,—,—,Paris
,,Amsterdam,Netherlands,,,,,,
,,Barcelona,Spain,,,,,,
,,Los Angeles,United States,,,,,,
,,Prague,Czechoslovakia,,,,,,
,,Rome,Italy,,,,,,
1928,—,Amsterdam,Netherlands,—,—,—,—,—,Amsterdam
,,Los Angeles,United States,,,,,,
1932,4 October 1929,Los Angeles,United States,—,—,—,—,—,Los Angeles
1936,—,Berlin,Germany,43,—,—,—,—,Berlin
,,Barcelona,Spain,16,,,,,
,,Alexandria,Egypt,—,,,,,
,,Budapest,Hungary,—,,,,,
,,Buenos Aires,Argentina,—,,,,,
,,Cologne,Germany,—,,,,,
,,Dublin,Ireland,—,,,,,
,,Frankfurt,Germany,—,,,,,
,,Helsinki,Finland,—,,,,,
,,Lausanne,Switzerland,—,,,,,
,,Nuremberg,Germany,—,,,,,
,,Rio de Janeiro,Brazil,—,,,,,
,,Rome,Italy,—,,,,,
1940,31 August 1936,Tokyo,Japan,—,—,—,—,—,* Tokyo* (cancelled)
,,Helsinki,Finland,,,,,,
1944,—,London,Great Britain,—,—,—,—,—,* London* (cancelled)
,,Rome,Italy,,,,,,
,,Detroit,United States,,,,,,
,,Lausanne,Switzerland,,,,,,
,,Athens,Greece,,,,,,
,,Budapest,Hungary,,,,,,
,,Helsinki,Finland,,,,,,
,,Montreal,Canada,,,,,,
1948,—,London,Great Britain,—,—,—,—,—,London
,,Baltimore,United States,,,,,,
,,Lausanne,Switzerland,,,,,,
,,Los Angeles,United States,,,,,,
,,Minneapolis,United States,,,,,,
,,Philadelphia,United States,,,,,,
1952,21 June 1947,Helsinki,Finland,14,15,—,—,—,Helsinki
,,Los Angeles,United States,4,5,,,,
,,Minneapolis,United States,4,5,,,,
,,Amsterdam,Netherlands,3,3,,,,
,,Detroit,United States,2,—,,,,
,,Chicago,United States,1,—,,,,
,,Philadelphia,United States,0,—,,,,
,,Athens,Greece,0,—,,,,
