Country,City,Failed (and Active) bids,Successful bids
Argentina,Buenos Aires,"1936, 1956, 1968, 2004",
Australia,Brisbane,1992,
,Melbourne,1996,1956
,Sydney,—,2000
Austria,Vienna,1964,—
Azerbaijan,Baku,2016*,—
Belgium,Antwerp,—,1920
,Brussels,"1916, 1960, 1964",—
Brazil,Rio de Janeiro,"1936, 2004*, 2012*",2016
Canada,Montreal,"1944, 1956, 1972",1976
,Toronto,"1996, 2008",—
China,Beijing,2000,2008
Cuba,Havana,"1920, 2008*, 2012*",—
Czech Republic/Czechoslovakia,Prague,"1924, 2016*",—
Egypt,Alexandria,"1916, 1936",—
,Cairo,2008*,—
Finland,Helsinki,"1936, 1944",(1940) 1952
France,Lille,2004*,—
,Lyon,"1920, 1968",—
,Paris,"1992, 2008, 2012, 2024","(1900), 1924"
Germany,Berlin,"1908, 2000","1916, 1936"
,Cologne,1936,—
,Frankfurt,1936,—
,Leipzig,2012*,—
,Nuremberg,1936,—
Germany !(West) Germany,Munich,—,1972
Great Britain,Birmingham,1992,—
,London,—,"1908, 1948, 2012"
,Manchester,"1996, 2000",—
Greece,Athens,"1944, 1952, 1996","(1896), 2004"
Hungary,Budapest,"1916, 1920, 1936, 1944, 1960, 2024",—
Ireland,Dublin,1936,—
Italy,Milan,1908,—
,Rome,"1924, 1936, 1944, 2004, 2020, 2024","1908, 1960"
Japan,Nagoya,1988,—
,Osaka,2008,—
,Tokyo,"1960, 2016","1940, 1964, 2020"
Malaysia,Kuala Lumpur,2008*,—
Mexico,Mexico City,"1956, 1960",1968
Netherlands,Amsterdam,"1916, 1920, 1924, 1952, 1992",1928
Puerto Rico,San Juan,2004*,—
Qatar,Doha,2016*,—
Russia/Soviet Union,Moscow,"1976, 2012",1980
,Saint Petersburg,2004,—
South Africa,Cape Town,2004,—
South Korea,Seoul,—,1988
Spain,Barcelona,1936,1992
,Madrid,"1972, 2012, 2016, 2020",—
,Seville,"2004, 2008*",—
Sweden,Stockholm,"1952, 2004","1912, 1956"
Switzerland,Lausanne,"1936, 1944, 1948, 1952, 1960",
Thailand,Bangkok,2008*,—
Turkey,Istanbul,"2000, 2004, 2008, 2012*, 2020",
United States,Atlanta,1920,1996
,Baltimore,1948,—
,Chicago,"1952, 1956, 2016",-1904
,Cleveland,"1916, 1920",—
,Detroit,"1944, 1952, 1956, 1960, 1964, 1968, 1972",—
,Los Angeles,"1924, 1928, 1948, 1952, 1956, 1976, 2024","1932, 1984"
,Minneapolis,"1948, 1952, 1956",—
,New York City,2012,—
,Philadelphia,"1920, 1948, 1952, 1956",
,San Francisco,1956,—
,St. Louis,—,-1904
Yugoslavia/Serbia,Belgrade,"1992, 1996",—
