Country,Years
Australia,"*1956*, 1992, 1996, *2000*"
Belgium,"1916, *1920*, 1960, 1964"
Canada,"1944, 1956, 1972, *1976*, 1996, 2008"
Egypt,"1916, 1936, 2008"
France,"*(1900)*, 1920, *1924*, 1968, 1992, 2004, 2008, 2012, 2024"
Germany,"1908, *1916*, *1936*, *1972*, 2000, 2012"
Great Britain,"*1908*, *1948*, 1992 1996, 2000. *2012*"
Italy,"*1908*, 1924, 1936, 1944, *1960*, 2004, 2020, 2024"
Japan,"*1940*, 1960, *1964*, 1988, 2008, 2016, 2020"
Russia/Soviet Union,"1976, *1980*, 2004, 2012"
Spain,"1924, 1936, 1940, 1972, *1992*, 2004, 2008, 2012, 2016, 2020"
United States,"*(1904)*, 1916, 1920, 1924, 1928, *1932*, 1944, 1948, 1952, 1956, 1960, 1964, 
1968, 1972, 1976, *1984*, *1996*, 2012, 2016, 2024"
